,name,latitude,longitude,city,country
890,Cherepovets Airport,59.280373,38.0168,Botovo,Russia
891,Westover Metropolitan Airport / Westover Air Reserve Base,42.179646,-72.55584,Chicopee,United States
892,Hawarden Airport (Chester Airport),53.181786,-2.9752994,Chester,United Kingdom
893,Waco Kungo Airport,-11.426389,15.101389,Cela,Angola
894,Cessnock Airport,-32.781384,151.34288,Pokolbin,Australia
895,Cholet Le Pontreau Airport,47.080498,-0.8779454,Cholet,France
896,Oconee County Regional Airport,34.671246,-82.88523,Seneca,United States
897,Mettel Field,39.69819,-85.13108,Connersville,United States
898,Millard Airport (FAA: MLE),41.195103,-96.113525,Omaha,United States
899,Mercedes Airport,-37.673756,144.85573,Melbourne Airport,Australia
900,Prince Mohammad bin Abdulaziz Airport,24.553741,39.71508,Medina,Saudi Arabia
902,Pellston Regional Airport (Emmet County),45.57149,-84.78619,Pellston,United States
903,Port Lincoln Airport,-34.603592,135.87622,North Shields,Australia
906,Port Elizabeth Airport,-33.98727,25.614294,Port Elizabeth,South Africa
907,El Tepual Airport,-41.433514,-73.098724,Puerto Montt,Chile
908,Palma de Mallorca Airport,39.551743,2.7361648,Palma,Spain
909,Phnom Penh International Airport,11.552743,104.844475,Phnom Penh,Cambodia
911,Bisbee Municipal Airport (FAA: P04),31.37157,-109.88483,Bisbee,United States
912,Ama Airport,35.220325,-101.70745,Amarillo,United States
914,Suavanao Airport,-7.587017,158.72816,Suavanao,Solomon Islands
916,Moose Lake Airport (TC: CJB4),46.419167,-92.804085,Moose Lake,United States
918,Nero-Mer Airport,4.645679,-6.921903,Bereby,Côte d'Ivoire
919,Bost Airport,31.566471,64.36233,Lashkar Gah,Afghanistan
920,Basankusu Airport,1.2246217,19.787815,Basankusu,Democratic Republic of the Congo
921,Bob Sikes Airport,30.777103,-86.52465,Crestview,United States
922,Bishe Kola Air Base,36.655758,52.348698,Bishe Kola,Iran
923,Murray-Calloway County Airport,36.663567,-88.37085,Murray,United States
925,Basco Airport,20.451561,121.98067,Basco,Philippines
926,Creston Aerodrome (TC: CAJ3),49.036945,-116.49834,Creston,Canada
927,Dryden Regional Airport,49.831745,-92.74454,Dryden,Canada
928,Ivujivik Airport,62.415554,-77.92549,Ivujivik,Canada
929,Delta Junction Airport (FAA: D66),64.05133,-145.72963,Delta Junction,United States
930,Morondava Airport,-20.287155,44.316883,Morondava,Madagascar
931,Minot International Airport,48.25597,-101.28791,Minot,United States
932,Moranbah Airport,-22.058863,148.07607,Moranbah,Australia
933,Godofredo P. Ramos Airport (Caticlan Airport),11.925305,121.95351,Malay,Philippines
934,Anuradhapura Airport,8.301563,80.42718,Anuradhapura,Sri Lanka
938,Aden International Airport,12.825377,45.03709,Aden,Yemen
941,Robert F. Swinnie Airport (FAA: PHH),33.451466,-79.52635,Andrews,United States
943,Brawley Municipal Airport,32.98993,-115.51346,Brawley,United States
944,Brownwood Regional Airport,31.794977,-98.955574,Brownwood,United States
945,Brunei International Airport,4.945566,114.93306,Bandar Seri Begawan,Brunei
947,Casiguran Airport,16.194218,122.064926,Casiguran,Philippines
949,Kasompe Airport,-12.572072,27.89341,Chingola,Zambia
951,Ashland Municipal Airport (FAA: S03),42.189632,-122.65995,Ashland,United States
952,Cagayan de Sulu Airport,7.013352,118.49625,Mapun,Philippines
955,Mactan–Cebu International Airport,10.310656,123.980225,Lapu-Lapu City,Philippines
956,Del Norte County Airport (Jack McNamara Field),41.777664,-124.235695,Crescent City,United States
957,Chiang Rai International Airport (Mae Fah Luang Int'l),19.95437,99.87901,Ban Du - Rim Kok,Thailand
959,Casa Grande Municipal Airport,32.955223,-111.76089,Casa Grande,United States
960,Chachapoyas Airport,-6.206854,-77.85245,Chachapoyas,Peru
962,Chickasha Municipal Airport,35.090977,-97.96593,Chickasha,United States
963,Ahuas Airport,15.761854,-84.54245,Brus Laguna,Honduras
965,Marco Island Airport (FAA: MKY),25.995834,-81.673004,Naples,United States
969,Ajaccio Napoleon Bonaparte Airport,41.920216,8.794628,Ajaccio,France
970,Al-Jawf Domestic Airport,29.788502,40.10202,Sakaka,Saudi Arabia
972,Arak Airport,34.13384,49.842762,Arak,Iran
973,Punta Abreojos Airstrip,26.717302,-113.57434,Punta Abreojos,Mexico
974,Ankang Wulipu Airport,32.707447,108.939125,Ankang,China
975,Akola Airport,20.696182,77.05907,Akola,India
976,Narimanovo Airport,46.287037,47.99988,Astrakhan,Russia
978,Cliff Hatfield Memorial Airport,33.13,-115.52167,Calipatria,United States
980,Fossil Downs Airport,-18.179577,125.56302,Fitzroy Crossing,Australia
